Customer_ID,Age,Gender,Income_Level,Marital_Status,Education_Level,Occupation,Purchase_Category,Purchase_Amount,Frequency_of_Purchase,Purchase_Channel,Brand_Loyalty,Product_Rating,Time_Spent_on_Product_Research(hours),Social_Media_Influence,Discount_Sensitivity,Return_Rate,Customer_Satisfaction,Engagement_with_Ads,Device_Used_for_Shopping,Payment_Method,Time_of_Purchase,Discount_Used,Customer_Loyalty_Program_Member,Purchase_Intent,Shipping_Preference,Time_to_Decision,Spend_Score,Spend_Binary
37-611-6911,22,Female,Middle,Married,Bachelor's,Middle,Gardening & Outdoors,333.8,4,Mixed,5,5,2.0,None,Somewhat Sensitive,1,7,None,Tablet,Credit Card,3/1/24,True,False,Need-based,No Preference,2,1335.2,Not_High
29-392-9296,49,Male,High,Married,High School,High,Food & Beverages,222.22,11,In-Store,3,1,2.0,Medium,Not Sensitive,1,5,High,Tablet,PayPal,4/16/2024,True,False,Wants-based,Standard,6,2444.42,Not_High
84-649-5117,24,Female,Middle,Single,Master's,High,Office Supplies,426.22,2,Mixed,5,5,0.3,Low,Not Sensitive,1,7,Low,Smartphone,Debit Card,3/15/2024,True,True,Impulsive,No Preference,3,852.44,Not_High
48-980-6078,29,Female,Middle,Single,Master's,Middle,Home Appliances,101.31,6,Mixed,3,1,1.0,High,Somewhat Sensitive,0,1,None,Smartphone,Other,10/4/24,True,True,Need-based,Express,10,607.86,Not_High
91-170-9072,33,Female,Middle,Widowed,High School,Middle,Furniture,211.7,6,Mixed,3,4,0.0,Medium,Not Sensitive,2,10,None,Smartphone,Debit Card,1/30/2024,False,False,Wants-based,No Preference,4,1270.1999999999998,Not_High
82-561-4233,45,Male,Middle,Married,Master's,High,Office Supplies,487.95,8,Mixed,3,3,0.0,High,Not Sensitive,2,3,None,Tablet,Debit Card,3/19/2024,False,False,Planned,No Preference,7,3903.6,High
90-144-9193,21,Female,Middle,Divorced,High School,Middle,Furniture,486.4,12,Online,2,5,1.0,High,Somewhat Sensitive,0,9,Low,Desktop,Debit Card,3/15/2024,True,False,Need-based,Express,13,5836.799999999999,High
88-661-4689,39,Male,Middle,Single,High School,Middle,Books,218.06,6,Online,5,4,1.0,Low,Somewhat Sensitive,2,9,None,Desktop,Credit Card,3/17/2024,False,True,Impulsive,No Preference,13,1308.3600000000001,Not_High
37-065-3182,24,Female,High,Divorced,Master's,Middle,Office Supplies,201.96,8,In-Store,3,5,0.0,Low,Very Sensitive,1,2,High,Desktop,Cash,6/10/24,False,False,Need-based,Standard,7,1615.68,Not_High
84-894-9222,25,Bigender,High,Married,Bachelor's,High,Sports & Outdoors,418.83,7,Online,2,5,1.0,None,Somewhat Sensitive,1,5,Medium,Tablet,PayPal,10/7/24,True,False,Need-based,No Preference,13,2931.81,Not_High
44-674-4037,33,Male,Middle,Divorced,Bachelor's,Middle,Mobile Accessories,389.7,12,In-Store,1,4,0.5,Low,Not Sensitive,0,4,High,Desktop,PayPal,7/2/24,True,False,Planned,Express,12,4676.4,High
78-116-8349,38,Female,High,Widowed,Bachelor's,Middle,Sports & Outdoors,238.93,5,Online,4,3,1.0,Medium,Very Sensitive,0,10,High,Tablet,Cash,12/27/2024,True,False,Planned,No Preference,1,1194.65,Not_High
19-933-8095,34,Male,Middle,Single,Bachelor's,High,Luxury Goods,61.22,7,In-Store,5,2,2.0,Low,Very Sensitive,1,7,High,Desktop,Debit Card,8/5/24,True,True,Need-based,No Preference,5,428.53999999999996,Not_High
80-684-5072,32,Male,High,Married,High School,Middle,Animal Feed,79.81,4,Mixed,5,5,0.0,High,Not Sensitive,0,9,High,Smartphone,Debit Card,7/16/2024,False,True,Wants-based,Standard,14,319.24,Not_High
23-302-7502,30,Female,High,Widowed,High School,High,Health Care,58.51,2,Online,4,4,0.5,None,Not Sensitive,0,4,Medium,Desktop,PayPal,12/14/2024,True,True,Planned,No Preference,14,117.02,Not_High
90-069-8934,40,Male,High,Divorced,Master's,High,Hotels,109.29,3,Online,3,4,0.0,Medium,Somewhat Sensitive,2,2,High,Desktop,Debit Card,8/11/24,False,True,Wants-based,Express,11,327.87,Not_High
45-073-7243,37,Male,High,Single,Bachelor's,High,Furniture,356.45,6,Mixed,5,5,2.0,Low,Very Sensitive,0,7,Medium,Smartphone,Credit Card,10/18/2024,False,True,Planned,Standard,8,2138.7,Not_High
89-883-2101,38,Female,Middle,Divorced,Bachelor's,High,Mobile Accessories,236.99,10,Mixed,2,4,0.0,High,Very Sensitive,0,8,None,Tablet,PayPal,12/9/24,True,True,Impulsive,No Preference,13,2369.9,Not_High
00-477-9449,36,Male,Middle,Widowed,Bachelor's,High,Packages),454.39,10,In-Store,2,4,2.0,Medium,Not Sensitive,0,3,None,Desktop,Other,7/23/2024,False,True,Impulsive,Standard,3,4543.9,High
67-159-7366,29,Female,High,Widowed,Bachelor's,Middle,Electronics,490.75,10,In-Store,2,4,1.0,None,Very Sensitive,1,4,Low,Smartphone,Debit Card,7/8/24,False,False,Wants-based,Standard,13,4907.5,High
85-691-4293,21,Female,Middle,Widowed,High School,Middle,Software & Apps,463.07,7,Mixed,4,2,0.0,None,Very Sensitive,1,2,Medium,Smartphone,PayPal,7/23/2024,True,False,Wants-based,No Preference,11,3241.49,High
56-085-0464,36,Female,High,Married,Master's,High,Baby Products,56.74,5,Online,5,1,0.0,Medium,Very Sensitive,0,6,None,Smartphone,Other,7/31/2024,True,False,Impulsive,Express,7,283.7,Not_High
